sseqid,sstart,send
LmjF.01,84211,84844
LmjF.01,110632,110745
LmjF.01,110757,111225
LmjF.01,111229,111367
LmjF.01,130053,130642
LmjF.01,141571,142596
LmjF.01,256393,256948
LmjF.01,260139,260969
LmjF.01,267975,268984
LmjF.02,2,1026
LmjF.02,8266,9282
LmjF.02,37675,38225
LmjF.02,73802,74524
LmjF.02,98348,99070
LmjF.02,117988,118710
LmjF.02,122096,122818
LmjF.02,136464,136888
LmjF.02,136912,137246
LmjF.02,137329,137978
LmjF.02,147068,147640
LmjF.02,172114,173113
LmjF.02,195241,195824
LmjF.02,195848,196514
LmjF.02,206755,207387
LmjF.02,335685,335806
LmjF.02,335992,337198
LmjF.02,352805,354311
LmjF.02,354932,355714
LmjF.03,23787,24786
LmjF.03,213192,213969
LmjF.03,241617,242278
LmjF.03,363575,364311
LmjF.03,383502,384518
LmjF.04,116,1075
LmjF.04,4366,4935
LmjF.04,10046,10729
LmjF.04,104274,105487
LmjF.04,121438,122029
LmjF.04,131055,132587
LmjF.04,147857,148410
LmjF.04,208450,209026
LmjF.04,240849,241161
LmjF.04,241296,241876
LmjF.04,472598,472856
LmjF.05,1,1360
LmjF.05,66538,67097
LmjF.05,71350,71904
LmjF.05,104811,104915
LmjF.05,104942,105662
LmjF.05,163092,164269
LmjF.05,166414,167769
LmjF.05,184444,185071
LmjF.05,247108,247902
LmjF.05,285306,286011
LmjF.05,359951,360213
LmjF.05,360295,361169
LmjF.05,396654,396787
LmjF.05,396837,397755
LmjF.05,444020,444354
LmjF.05,458786,459785
LmjF.05,465250,465823
LmjF.06,1,1015
LmjF.06,1842,2496
LmjF.06,16895,17527
LmjF.06,103959,104643
LmjF.06,124509,124844
LmjF.06,124989,125568
LmjF.06,291192,291581
LmjF.06,291604,291781
LmjF.06,291804,292370
LmjF.06,496412,497061
LmjF.06,512373,512866
LmjF.06,512931,513422
LmjF.07,86,1213
LmjF.07,63918,64544
LmjF.07,154885,155467
LmjF.07,210274,210879
LmjF.07,211085,211639
LmjF.07,211861,212192
LmjF.07,212248,212405
LmjF.07,301513,301633
LmjF.07,301721,302326
LmjF.07,302532,303084
LmjF.07,303306,303629
LmjF.07,303690,303847
LmjF.07,380578,380700
LmjF.07,380712,380825
LmjF.07,380828,381518
LmjF.07,395753,396364
LmjF.07,405789,406400
LmjF.07,420523,421134
LmjF.07,462090,463431
LmjF.07,595965,596348
LmjF.08,1,1035
LmjF.08,44303,44858
LmjF.08,78539,79126
LmjF.08,85819,86373
LmjF.08,265107,265968
LmjF.08,282980,283083
LmjF.08,283288,284523
LmjF.08,284753,284865
LmjF.08,284918,285616
LmjF.08,285735,286048
LmjF.08,286089,287181
LmjF.08,287191,287563
LmjF.08,287627,287787
LmjF.08,287816,288407
LmjF.08,288416,288713
LmjF.08,289827,291492
LmjF.08,291614,291927
LmjF.08,291968,293060
LmjF.08,293070,293442
LmjF.08,293506,293666
LmjF.08,293695,294286
LmjF.08,294295,294592
LmjF.08,295710,297379
LmjF.08,297501,297814
LmjF.08,297855,298947
LmjF.08,298957,299329
LmjF.08,299393,299553
LmjF.08,299582,300173
LmjF.08,300182,300479
LmjF.08,301598,303263
LmjF.08,303385,303698
LmjF.08,303739,305198
LmjF.08,305262,305422
LmjF.08,305451,306042
LmjF.08,306051,306348
