Sequence ID: LmjF04_01_20040201_V3.0, Length: 472856
Sequence ID: LmjF05_01_20040201_V3.0, Length: 465823
Sequence ID: LmjF24_01_20040201_V3.0, Length: 840950
Sequence ID: LmjF01_01_20040201_V3.0, Length: 268984
Sequence ID: LmjF03_01_20040201_V3.0, Length: 384518
Sequence ID: LmjF13_01_20040201_V3.0, Length: 654604
Sequence ID: LmjF14_01_20040201_V3.0, Length: 622648
Sequence ID: LmjF19_01_20040201_V3.0, Length: 706761
Sequence ID: LmjF21_01_20040201_V3.0, Length: 649552
Sequence ID: LmjF23_01_20040201_V3.0, Length: 681183
Sequence ID: LmjF10_01_20040201_V3.0, Length: 570864
Sequence ID: LmjF11_01_20040201_V3.0, Length: 582575
Sequence ID: LmjF15_01_20040201_V3.0, Length: 629514
Sequence ID: LmjF18_01_20040201_V3.0, Length: 727510
Sequence ID: LmjF02_01_20040201_V3.0, Length: 355714
Sequence ID: LmjF25_01_20040201_V3.0, Length: 912849
Sequence ID: LmjF27_01_20040201_V3.0, Length: 1127087
Sequence ID: LmjF28_01_20040201_V3.0, Length: 1154343
Sequence ID: LmjF29_01_20040201_V3.0, Length: 1190239
Sequence ID: LmjF30_01_20040201_V3.0, Length: 1403454
Sequence ID: LmjF31_01_20040201_V3.0, Length: 1484336
Sequence ID: LmjF32_01_20040201_V3.0, Length: 1565925
Sequence ID: LmjF33_01_20040201_V3.0, Length: 1583673
Sequence ID: LmjF34_01_20040201_V3.0, Length: 1866754
Sequence ID: LmjF35_01_20040201_V3.0, Length: 2090491
Sequence ID: LmjF36_01_20040201_V3.0, Length: 2682183
Sequence ID: LmjF07_01_20040201_V3.0, Length: 596348
Sequence ID: LmjF08_01_20040201_V3.0, Length: 559235
Sequence ID: LmjF09_01_20040201_V3.0, Length: 573441
Sequence ID: LmjF06_01_20040201_V3.0, Length: 513422
Sequence ID: LmjF12_01_20040201_V3.0, Length: 665347
Sequence ID: LmjF16_01_20040201_V3.0, Length: 692487
Sequence ID: LmjF17_01_20040201_V3.0, Length: 666578
Sequence ID: LmjF20_01_20040201_V3.0, Length: 685083
Sequence ID: LmjF22_01_20040201_V3.0, Length: 716608
Sequence ID: LmjF26_01_20040211_V3.0, Length: 1091579
