ID,chr,name,fam,str,start,end,chr_size
51.te00022,1,chr1_37.00281,1,-,39705,40532,268984
51.te00019,1,chr1_37.00289,1,+,260993,261261,268984
51.te00020,1,chr1_37.00290,1,+,266162,266340,268984
51.te00018,1,chr1_37.00279,2,+,24174,24821,268984
51.te00021,1,chr1_37.00280,2,-,35328,36036,268984
51.te00023,1,chr1_37.00282,2,-,54542,55178,268984
51.te00024,1,chr1_37.00283,2,+,73279,73917,268984
51.te00013,1,chr1_37.00284,2,-,111380,111734,268984
51.te00014,1,chr1_37.00285,2,-,126000,126649,268984
51.te00015,1,chr1_37.00286,2,+,133523,134013,268984
51.te00016,1,chr1_37.00287,2,+,201661,202234,268984
51.te00017,1,chr1_37.00288,2,-,226657,226940,268984
52.te00002,2,chr2_38.00226,1,-,135382,136457,355714
52.te00003,2,chr2_38.00224,2,+,17598,18236,355714
52.te00001,2,chr2_38.00225,2,-,102691,103323,355714
52.te00004,2,chr2_38.00227,2,-,201537,202251,355714
52.te00005,2,chr2_38.00228,2,-,254428,255004,355714
52.te00006,2,chr2_38.00229,2,-,264195,264734,355714
52.te00007,2,chr2_38.00230,2,+,314330,314887,355714
52.te00008,2,chr2_38.00231,2,+,343641,344192,355714
53.te00001,3,chr3_39.00295,2,+,171068,171643,384518
53.te00002,3,chr3_39.00296,2,+,225566,226067,384518
53.te00003,3,chr3_39.00297,2,+,236166,236600,384518
53.te00004,3,chr3_39.00298,2,+,252516,253083,384518
53.te00005,3,chr3_39.00299,2,+,258067,258658,384518
53.te00006,3,chr3_39.00300,2,-,314596,314966,384518
53.te00007,3,chr3_39.00301,2,+,343386,343807,384518
54.te00006,4,chr4_4.00423,1,-,336119,337040,472856
54.te00013,4,chr4_4.00416,2,+,7946,8423,472856
54.te00003,4,chr4_4.00417,2,-,19425,19898,472856
54.te00008,4,chr4_4.00418,2,+,38172,38588,472856
54.te00001,4,chr4_4.00419,2,+,108122,108581,472856
54.te00002,4,chr4_4.00420,2,-,181541,181927,472856
54.te00004,4,chr4_4.00421,2,-,290986,291500,472856
54.te00005,4,chr4_4.00422,2,-,335367,335810,472856
54.te00007,4,chr4_4.00424,2,+,367761,368203,472856
54.te00009,4,chr4_4.00425,2,-,396450,396896,472856
54.te00010,4,chr4_4.00426,2,-,399589,400014,472856
54.te00011,4,chr4_4.00427,2,-,432185,432800,472856
54.te00012,4,chr4_4.00428,2,+,443516,443993,472856
55.te00018,5,chr5_5.00339,1,+,90841,91072,465823
55.te00011,5,chr5_5.00348,1,+,413942,414427,465823
55.te00015,5,chr5_5.00351,1,+,444412,445160,465823
55.te00004,5,chr5_5.00335,2,+,21407,22009,465823
55.te00006,5,chr5_5.00336,2,+,30666,31304,465823
55.te00010,5,chr5_5.00337,2,+,40438,40917,465823
55.te00013,5,chr5_5.00338,2,+,44064,44598,465823
55.te00019,5,chr5_5.00340,2,+,91501,91943,465823
55.te00001,5,chr5_5.00341,2,-,133215,133682,465823
55.te00002,5,chr5_5.00342,2,+,146145,146639,465823
55.te00003,5,chr5_5.00343,2,+,150839,151245,465823
55.te00005,5,chr5_5.00344,2,+,222900,223499,465823
55.te00007,5,chr5_5.00345,2,+,355962,356336,465823
55.te00008,5,chr5_5.00346,2,-,384475,384939,465823
55.te00009,5,chr5_5.00347,2,+,386816,387303,465823
55.te00012,5,chr5_5.00349,2,-,437364,437911,465823
55.te00014,5,chr5_5.00350,2,-,440590,441136,465823
55.te00016,5,chr5_5.00352,2,+,446988,447532,465823
55.te00017,5,chr5_5.00353,2,+,464001,464509,465823
56.te00023,6,chr6_6.00295,1,-,6327,6767,513422
56.te00025,6,chr6_6.00297,1,-,7380,7589,513422
56.te00021,6,chr6_6.00299,1,-,57422,57917,513422
56.te00022,6,chr6_6.00300,1,-,61644,62048,513422
56.te00001,6,chr6_6.00301,1,+,101650,102456,513422
56.te00004,6,chr6_6.00304,1,-,178220,178503,513422
56.te00010,6,chr6_6.00309,1,+,392147,392407,513422
56.te00011,6,chr6_6.00310,1,-,438460,439271,513422
56.te00024,6,chr6_6.00296,2,+,6768,7379,513422
56.te00006,6,chr6_6.00298,2,-,19889,20502,513422
56.te00002,6,chr6_6.00302,2,+,137182,137798,513422
56.te00003,6,chr6_6.00303,2,+,176245,176890,513422
56.te00005,6,chr6_6.00305,2,+,185670,186275,513422
56.te00007,6,chr6_6.00306,2,+,212563,213170,513422
56.te00008,6,chr6_6.00307,2,+,240216,240827,513422
56.te00009,6,chr6_6.00308,2,-,283607,284031,513422
56.te00012,6,chr6_6.00311,2,+,440883,441360,513422
56.te00013,6,chr6_6.00312,2,+,445495,445986,513422
56.te00014,6,chr6_6.00313,2,+,450932,451439,513422
56.te00015,6,chr6_6.00314,2,+,457548,457967,513422
56.te00016,6,chr6_6.00315,2,+,482072,482591,513422
56.te00017,6,chr6_6.00316,2,-,490377,490884,513422
56.te00018,6,chr6_6.00317,2,-,501044,501619,513422
56.te00019,6,chr6_6.00318,2,-,502874,503338,513422
56.te00020,6,chr6_6.00319,2,+,507884,508405,513422
57.te00023,7,chr7_7.00415,1,+,209666,210003,596348
57.te00024,7,chr7_7.00416,1,+,212757,213679,596348
57.te00026,7,chr7_7.00418,1,+,251846,252218,596348
57.te00028,7,chr7_7.00419,1,+,304190,305151,596348
57.te00033,7,chr7_7.00423,1,+,444162,445147,596348
57.te00034,7,chr7_7.00424,1,+,453886,454444,596348
57.te00035,7,chr7_7.00425,1,+,460775,461791,596348
57.te00018,7,chr7_7.00406,2,+,13394,13844,596348
57.te00021,7,chr7_7.00407,2,+,20667,21214,596348
57.te00027,7,chr7_7.00408,2,+,27810,28293,596348
57.te00042,7,chr7_7.00409,2,+,59017,59505,596348
57.te00043,7,chr7_7.00410,2,-,60181,60831,596348
57.te00017,7,chr7_7.00411,2,-,105542,106179,596348
57.te00019,7,chr7_7.00412,2,-,167012,167515,596348
57.te00020,7,chr7_7.00413,2,-,193627,194180,596348
57.te00022,7,chr7_7.00414,2,-,208722,209299,596348
57.te00025,7,chr7_7.00417,2,-,246241,246922,596348
57.te00029,7,chr7_7.00420,2,+,305571,306180,596348
57.te00031,7,chr7_7.00421,2,-,339201,339725,596348
57.te00032,7,chr7_7.00422,2,+,370324,370865,596348
57.te00036,7,chr7_7.00426,2,+,506114,506704,596348
57.te00037,7,chr7_7.00427,2,+,531398,532034,596348
57.te00038,7,chr7_7.00428,2,+,553606,554095,596348
57.te00039,7,chr7_7.00429,2,+,562873,563495,596348
57.te00040,7,chr7_7.00430,2,+,566451,566952,596348
57.te00041,7,chr7_7.00431,2,+,571060,571650,596348
58.te00028,8,chr8_8.00369,1,+,46578,47000,559245
58.te00036,8,chr8_8.00370,1,+,54807,55176,559245
58.te00038,8,chr8_8.00371,1,+,66418,67263,559245
58.te00002,8,chr8_8.00373,1,+,104930,105246,559245
58.te00003,8,chr8_8.00374,1,+,106628,106929,559245
58.te00004,8,chr8_8.00375,1,+,192520,192788,559245
58.te00005,8,chr8_8.00376,1,+,192998,193635,559245
58.te00007,8,chr8_8.00378,1,+,288961,289511,559245
58.te00008,8,chr8_8.00379,1,+,294840,295389,559245
58.te00009,8,chr8_8.00380,1,+,300727,301211,559245
58.te00010,8,chr8_8.00381,1,+,306596,307146,559245
58.te00011,8,chr8_8.00382,1,+,312477,313067,559245
58.te00012,8,chr8_8.00383,1,+,318342,318892,559245
58.te00013,8,chr8_8.00384,1,+,324223,324773,559245
58.te00014,8,chr8_8.00385,1,+,330087,330637,559245
58.te00015,8,chr8_8.00386,1,+,335968,336518,559245
58.te00016,8,chr8_8.00387,1,+,341829,342379,559245
58.te00018,8,chr8_8.00388,1,+,347697,348247,559245
58.te00019,8,chr8_8.00389,1,+,359093,359412,559245
58.te00020,8,chr8_8.00390,1,+,363200,363589,559245
58.te00021,8,chr8_8.00391,1,+,368020,368409,559245
58.te00022,8,chr8_8.00392,1,+,372836,373225,559245
58.te00023,8,chr8_8.00393,1,+,377653,378042,559245
58.te00024,8,chr8_8.00394,1,+,382469,382858,559245
58.te00025,8,chr8_8.00395,1,+,387287,387676,559245
58.te00017,8,chr8_8.00368,2,+,34679,35263,559245
58.te00001,8,chr8_8.00372,2,+,104390,104921,559245
58.te00006,8,chr8_8.00377,2,+,281447,281905,559245
58.te00026,8,chr8_8.00396,2,-,418475,418943,559245
58.te00027,8,chr8_8.00397,2,-,446115,446693,559245
58.te00029,8,chr8_8.00398,2,-,483498,484064,559245
58.te00030,8,chr8_8.00399,2,+,486608,487167,559245
58.te00031,8,chr8_8.00400,2,-,491788,492360,559245
58.te00032,8,chr8_8.00401,2,+,495316,495867,559245
58.te00033,8,chr8_8.00402,2,+,530516,530969,559245
58.te00034,8,chr8_8.00403,2,+,534274,534713,559245
58.te00035,8,chr8_8.00404,2,+,541360,541889,559245
58.te00037,8,chr8_8.00405,2,+,553356,553919,559245
59.te00012,9,chr9_9.00352,1,+,41555,42555,573441
59.te00003,9,chr9_9.00356,1,-,166853,167203,573441
59.te00009,9,chr9_9.00361,1,+,252269,252848,573441
59.te00021,9,chr9_9.00372,1,-,552394,552842,573441
59.te00008,9,chr9_9.00351,2,+,24862,25362,573441
59.te00022,9,chr9_9.00353,2,+,90828,91404,573441
59.te00001,9,chr9_9.00354,2,+,110413,110990,573441
59.te00002,9,chr9_9.00355,2,+,129099,129512,573441
59.te00004,9,chr9_9.00357,2,-,199680,200237,573441
