sseqid,sstart,send
LmjF.01,110757,111225
LmjF.01,141571,142596
LmjF.01,256393,256948
LmjF.01,267975,268984
LmjF.02,2,1026
LmjF.02,8266,9282
LmjF.02,136464,136888
LmjF.02,172114,173113
LmjF.02,195241,195824
LmjF.02,335992,337198
LmjF.02,354932,355714
LmjF.03,213192,213969
LmjF.03,241617,242278
LmjF.04,116,1075
LmjF.04,10046,10729
LmjF.04,240849,241161
LmjF.04,241296,241876
LmjF.04,472598,472856
LmjF.05,1,1360
LmjF.05,104942,105662
LmjF.05,184444,185071
LmjF.05,247108,247902
LmjF.05,359951,360213
LmjF.05,360295,361169
LmjF.05,396837,397755
LmjF.05,444020,444354
LmjF.05,458786,459785
LmjF.05,465250,465823
LmjF.06,1,1015
LmjF.06,1842,2496
LmjF.06,16895,17527
LmjF.06,103959,104643
LmjF.06,291192,291581
LmjF.06,512931,513422
LmjF.07,86,1213
LmjF.07,63918,64544
LmjF.07,154885,155467
LmjF.07,210274,210879
LmjF.07,380828,381518
LmjF.07,462090,463431
LmjF.07,595965,596348
LmjF.08,1,1035
LmjF.08,265107,265968
LmjF.08,283288,284523
LmjF.08,350688,351923
LmjF.08,490009,490947
LmjF.08,491092,491680
LmjF.09,276881,277444
LmjF.09,387081,388080
LmjF.09,405671,406233
LmjF.09,418608,419175
LmjF.09,463708,465179
LmjF.09,573241,573441
LmjF.10,1,1223
LmjF.10,7985,8904
LmjF.10,132652,133393
LmjF.10,160316,161075
LmjF.10,166577,167343
LmjF.10,172900,173722
LmjF.10,181243,182082
LmjF.10,187424,187675
LmjF.10,191031,192088
LmjF.10,207312,207922
LmjF.10,231331,232292
LmjF.10,232931,234177
LmjF.10,234358,235068
LmjF.10,235078,235856
LmjF.10,356654,357357
LmjF.10,526568,527222
LmjF.10,538618,539690
LmjF.10,561238,561953
LmjF.10,569512,570864
LmjF.11,1,1242
LmjF.11,74745,75837
LmjF.11,156774,157641
LmjF.11,158425,158941
LmjF.11,163001,163568
LmjF.11,207991,208507
LmjF.11,355783,356501
LmjF.11,356788,357243
LmjF.11,357294,357850
LmjF.11,581720,582575
LmjF.12,52940,53197
LmjF.12,182254,182891
LmjF.12,231251,232426
LmjF.12,232447,233472
LmjF.12,270955,271725
LmjF.12,285257,286432
LmjF.12,286452,287144
LmjF.12,291024,291711
LmjF.12,302077,302724
LmjF.12,309920,310745
LmjF.12,328613,329256
LmjF.12,360583,361986
LmjF.12,395942,399202
LmjF.12,412836,415451
LmjF.12,431966,435911
LmjF.12,482880,485150
LmjF.12,512663,514791
LmjF.12,520596,524876
LmjF.12,527890,528913
LmjF.12,541504,544416
LmjF.12,552788,553329
LmjF.12,553355,554122
LmjF.12,575451,576107
LmjF.12,613600,614029
LmjF.12,628199,628635
LmjF.12,643549,644263
LmjF.12,665735,666416
LmjF.12,667249,667682
LmjF.12,674269,675238
LmjF.13,261415,262104
LmjF.13,563073,563709
LmjF.13,654027,654604
LmjF.14,1,1216
LmjF.14,60277,60855
LmjF.14,264224,265119
LmjF.14,283460,286114
LmjF.14,492065,493167
LmjF.14,580212,582237
LmjF.14,622162,622648
LmjF.15,99,520
LmjF.15,1196,1859
LmjF.15,269294,270173
LmjF.15,285775,286336
LmjF.15,287044,287937
LmjF.15,290985,291200
LmjF.15,291212,291937
LmjF.15,323208,323773
LmjF.15,508977,509769
LmjF.15,583740,584432
LmjF.15,628136,629514
LmjF.16,86,1151
LmjF.16,206500,207159
LmjF.16,269253,270025
LmjF.16,311705,312393
LmjF.16,323240,324806
LmjF.16,371212,372088
LmjF.16,374108,374912
LmjF.16,398877,400085
LmjF.16,407229,407997
LmjF.16,424204,425002
LmjF.16,431149,431411
LmjF.16,452778,453440
LmjF.16,462605,463172
LmjF.16,504744,505313
LmjF.16,572989,573535
LmjF.16,573621,574894
LmjF.16,574899,575502
LmjF.16,622540,623195
LmjF.16,623495,624131
LmjF.16,624251,624831
LmjF.16,624917,625901
LmjF.16,626697,627460
LmjF.16,630400,630889
LmjF.16,631112,631734
LmjF.16,638470,639315
LmjF.16,691526,692377
LmjF.16,711122,712836
LmjF.17,6,6062
LmjF.17,53957,54814
LmjF.17,73525,74269
LmjF.17,79254,79998
LmjF.17,84983,85727
LmjF.17,90712,91456
LmjF.17,91611,92406
LmjF.17,100603,101365
LmjF.17,117946,118669
LmjF.17,123835,124579
LmjF.17,150071,150811
LmjF.17,170070,170952
LmjF.17,178385,179108
LmjF.17,185432,186146
LmjF.17,193978,194349
LmjF.17,194363,194930
LmjF.17,238612,239338
LmjF.17,298804,299038
LmjF.17,299107,300413
LmjF.17,311794,312643
LmjF.17,314592,315434
LmjF.17,319529,320502
LmjF.17,325067,326030
LmjF.17,336355,337355
LmjF.17,339014,339675
LmjF.17,339841,340658
LmjF.17,344650,345605
LmjF.17,383865,384706
LmjF.17,418760,418972
LmjF.17,418987,419804
LmjF.17,422255,423101
LmjF.17,451138,451783
LmjF.17,511892,512766
LmjF.17,517195,517534
LmjF.17,519955,520621
LmjF.17,552395,552660
LmjF.17,554276,555571
LmjF.17,565703,565836
LmjF.17,565881,566804
LmjF.17,576506,577505
LmjF.17,581706,582282
LmjF.17,587031,587856
LmjF.17,619309,620146
LmjF.17,630805,631444
LmjF.17,636937,637576
LmjF.17,660800,662178
LmjF.17,665082,665905
LmjF.17,667846,668485
LmjF.17,683910,684831
LmjF.18,22,1123
LmjF.18,17674,18724
LmjF.18,40663,40890
LmjF.18,56847,57609
LmjF.18,65375,66013
LmjF.18,69902,70666
LmjF.18,79428,80569
LmjF.18,95585,96533
LmjF.18,97234,97988
LmjF.18,116956,117723
LmjF.18,126427,127066
LmjF.18,148790,149689
LmjF.18,157366,157502
LmjF.18,157520,158123
LmjF.18,163831,164386
LmjF.18,164389,165226
LmjF.18,221074,221848
LmjF.18,230123,230871
LmjF.18,245151,245942
LmjF.18,276260,277029
LmjF.18,277898,278323
LmjF.18,278325,279311
LmjF.18,296904,298229
LmjF.18,392998,393602
LmjF.18,427489,428094
LmjF.18,443813,444251
LmjF.18,444357,444800
LmjF.18,447845,448395
LmjF.18,449544,450164
LmjF.18,475468,476238
LmjF.18,476320,476657
LmjF.18,476699,477191
LmjF.18,477248,478187
LmjF.18,488487,488597
LmjF.18,489982,490174
LmjF.18,490200,490938
LmjF.18,512598,513237
LmjF.18,554575,555149
LmjF.18,569939,570710
LmjF.18,577466,578227
LmjF.18,579376,579950
LmjF.18,633230,634072
LmjF.18,644804,645645
LmjF.18,660701,661654
LmjF.18,661947,662382
LmjF.18,662570,663398
LmjF.18,671102,672473
LmjF.18,690542,691252
LmjF.18,702386,703099
LmjF.18,704942,705656
LmjF.18,707836,708556
LmjF.18,722636,723212
LmjF.18,732314,733294
LmjF.18,733869,735229
LmjF.19,1,1025
LmjF.19,408380,409177
LmjF.19,533030,533677
LmjF.19,593648,594305
LmjF.19,594328,594833
LmjF.19,594837,595230
LmjF.19,601105,601722
LmjF.19,623660,624277
LmjF.19,653964,654264
LmjF.19,654279,654526
LmjF.19,663634,664291
LmjF.19,664314,664819
LmjF.19,664823,665216
LmjF.19,695639,701117
LmjF.19,706585,706761
LmjF.20,1,1049
LmjF.20,1088,1833
LmjF.20,10618,11393
LmjF.20,25258,26062
LmjF.20,37348,37554
LmjF.20,37570,38156
LmjF.20,45147,45813
LmjF.20,103721,104658
LmjF.20,111550,112373
LmjF.20,120466,121137
LmjF.20,129834,130664
LmjF.20,169762,170490
LmjF.20,209068,210083
LmjF.20,210375,211970
LmjF.20,242040,242869
LmjF.20,275404,276921
LmjF.20,295593,297099
LmjF.20,425631,426371
LmjF.20,432026,432696
LmjF.20,451542,452027
LmjF.20,452057,452799
LmjF.20,454685,455460
LmjF.20,461079,461826
LmjF.20,495033,495685
LmjF.20,521651,522229
LmjF.20,526724,527421
LmjF.20,529195,529963
LmjF.20,552356,553127
LmjF.20,559163,559934
LmjF.20,582172,582932
LmjF.20,584217,584989
LmjF.20,649133,650541
LmjF.20,689816,690493
LmjF.20,690920,692406
LmjF.20,720072,720736
LmjF.20,721165,721391
LmjF.20,721393,722646
LmjF.20,726192,727120
LmjF.20,740958,742551
LmjF.21,1,1216
LmjF.21,8579,9578
LmjF.21,273140,273984
LmjF.21,291663,292448
LmjF.21,442477,443046
LmjF.21,467904,469383
LmjF.21,511100,511793
LmjF.21,532555,533369
LmjF.21,540355,541136
LmjF.21,560014,560836
LmjF.21,565386,566235
LmjF.21,568702,569485
LmjF.21,572262,573029
LmjF.21,579350,579979
LmjF.21,580080,580922
LmjF.21,623109,624040
LmjF.21,640099,640937
LmjF.21,640966,641885
LmjF.21,666693,666927
LmjF.21,666934,667631
LmjF.21,667669,668367
LmjF.21,675809,676721
LmjF.21,699810,700679
LmjF.21,712814,713634
LmjF.21,748834,749309
LmjF.22,1,1418
LmjF.22,36425,37079
LmjF.22,65706,66398
LmjF.22,379610,380182
LmjF.22,672794,673411
LmjF.22,694045,695044
LmjF.22,715626,716396
LmjF.23,1,1000
LmjF.23,79350,79547
LmjF.23,85852,86049
LmjF.23,99820,100017
LmjF.23,202270,202959
LmjF.23,205068,205677
LmjF.23,205896,206661
LmjF.23,229247,230120
LmjF.23,238209,238560
LmjF.23,238708,240664
LmjF.23,241871,242846
LmjF.23,258088,258895
LmjF.23,292116,293128
LmjF.23,297827,298161
LmjF.23,298309,299078
LmjF.23,323592,324926
LmjF.23,335780,336699
LmjF.23,342245,343038
LmjF.23,363877,364564
LmjF.23,367989,368722
LmjF.23,397001,397576
LmjF.23,411984,412770
LmjF.23,427946,428638
LmjF.23,432962,433654
LmjF.23,465094,466221
LmjF.23,532733,533441
LmjF.23,539798,540519
LmjF.23,544534,545314
LmjF.23,554341,555153
LmjF.23,558077,558555
LmjF.23,562581,563352
LmjF.23,567502,568237
LmjF.23,601719,602550
LmjF.23,655060,655785
LmjF.23,659182,659693
LmjF.23,681884,683167
LmjF.23,685654,686419
LmjF.23,718483,719333
LmjF.23,733442,734292
LmjF.23,735849,737046
LmjF.23,758659,759675
LmjF.23,767171,768022
LmjF.23,769681,772562
LmjF.24,44,1043
LmjF.24,42609,43829
LmjF.24,152171,152943
LmjF.24,203555,204709
LmjF.24,470172,470841
LmjF.24,612867,613411
LmjF.24,614204,615674
LmjF.24,771124,771687
LmjF.25,1,1669
LmjF.25,30011,31010
LmjF.25,108564,109661
LmjF.25,149255,151117
LmjF.25,383046,384273
LmjF.25,460391,461424
LmjF.25,902253,903269
